"","CountryName","CountryCode","Year","Percentage"
"1","Afghanistan","AFG",2000,"48.4998076331569"
"2","Albania","ALB",2000,"49.4669222749134"
"3","Algeria","DZA",2000,"49.3223341533569"
"4","Angola","AGO",2000,"50.6767145873352"
"5","Antigua and Barbuda","ATG",2000,"53.1076138471049"
"6","Arab World","ARB",2000,"48.9527054944187"
"7","Argentina","ARG",2000,"51.0724010093192"
"8","Armenia","ARM",2000,"53.0090393739081"
"9","Aruba","ABW",2000,"51.7422791608884"
"10","Australia","AUS",2000,"50.1174920452974"
"11","Austria","AUT",2000,"51.4699006966192"
"12","Azerbaijan","AZE",2000,"51.1379765456946"
"13","Bahamas, The","BHS",2000,"51.2919154992934"
"14","Bahrain","BHR",2000,"42.8165043375246"
"15","Bangladesh","BGD",2000,"48.9639702591863"
"16","Barbados","BRB",2000,"51.9571001860376"
"17","Belarus","BLR",2000,"53.0468330410151"
"18","Belgium","BEL",2000,"51.1098537451867"
"19","Belize","BLZ",2000,"49.6522611114705"
"20","Benin","BEN",2000,"50.956849876665"
"21","Bhutan","BTN",2000,"48.587259188886"
"22","Bolivia","BOL",2000,"49.8596200832855"
"23","Bosnia and Herzegovina","BIH",2000,"50.1496752597895"
"24","Botswana","BWA",2000,"50.2420563648415"
"25","Brazil","BRA",2000,"50.5875217076612"
"26","Brunei Darussalam","BRN",2000,"49.1565674594771"
"27","Bulgaria","BGR",2000,"51.2736188068011"
"28","Burkina Faso","BFA",2000,"50.8814308545941"
"29","Burundi","BDI",2000,"50.695714380501"
"30","Cabo Verde","CPV",2000,"51.7430715895856"
"31","Cambodia","KHM",2000,"51.3999822100598"
"32","Cameroon","CMR",2000,"50.1889379850076"
"33","Canada","CAN",2000,"50.4774997171999"
"34","Caribbean small states","CSS",2000,"50.3127607946474"
"35","Central African Republic","CAF",2000,"50.8626297889882"
"36","Central Europe and the Baltics","CEB",2000,"51.5935856691477"
"37","Chad","TCD",2000,"50.1900502210091"
"38","Channel Islands","CHI",2000,"51.1924693225752"
"39","Chile","CHL",2000,"50.6740071957294"
"40","China","CHN",2000,"48.6309043201851"
"41","Colombia","COL",2000,"50.5471060397819"
"42","Comoros","COM",2000,"49.6830358447022"
"43","Congo, Dem. Rep.","ZAR",2000,"50.3963003008783"
"44","Congo, Rep.","COG",2000,"50.0874642882298"
"45","Costa Rica","CRI",2000,"49.8045829140608"
"46","Cote d'Ivoire","CIV",2000,"48.3381470870353"
"47","Croatia","HRV",2000,"51.8583834172412"
"48","Cuba","CUB",2000,"49.7708825400721"
"49","Curacao","CUW",2000,"53.0450185842651"
"50","Cyprus","CYP",2000,"49.5991145854867"
"51","Czech Republic","CZE",2000,"51.3614621831217"
"52","Denmark","DNK",2000,"50.5391527575439"
"53","Djibouti","DJI",2000,"49.7338636684464"
"54","Dominican Republic","DOM",2000,"49.8837797716891"
"55","East Asia & Pacific (all income levels)","EAS",2000,"49.2794345140448"
"56","East Asia & Pacific (developing only)","EAP",2000,"49.1167967447407"
"57","Ecuador","ECU",2000,"49.8661529753585"
"58","Egypt, Arab Rep.","EGY",2000,"49.7268065273523"
"59","El Salvador","SLV",2000,"51.8395047623505"
"60","Equatorial Guinea","GNQ",2000,"48.7873331123233"
"61","Eritrea","ERI",2000,"50.2616291897727"
"62","Estonia","EST",2000,"53.3587297956967"
"63","Ethiopia","ETH",2000,"50.1390284328801"
"64","Euro area","EMU",2000,"51.1779533130548"
"65","Europe & Central Asia (all income levels)","ECS",2000,"51.6536446594476"
"66","Europe & Central Asia (developing only)","ECA",2000,"51.5457575148595"
"67","European Union","EUU",2000,"51.2278433219798"
"68","Fiji","FJI",2000,"49.2100199328668"
"69","Finland","FIN",2000,"51.1956575913912"
"70","Fragile and conflict affected situations","FCS",2000,"49.9971496432448"
"71","France","FRA",2000,"51.0876210444264"
"72","French Polynesia","PYF",2000,"48.5187573493153"
"73","Gabon","GAB",2000,"50.3562995514588"
"74","Gambia, The","GMB",2000,"50.3407621516801"
"75","Georgia","GEO",2000,"52.6738709134072"
"76","Germany","DEU",2000,"51.1085881257218"
"77","Ghana","GHA",2000,"49.4986452585324"
"78","Greece","GRC",2000,"50.5686034147061"
"79","Grenada","GRD",2000,"50.557961031293"
